"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Sosa, Lenyn",672820,"CWS","SI","Sinker",-0.1,0,"342",16.6,"97","0.315","0.478","0.371",12.8,9.3,14.8,"0.307","0.507","0.365",50.6
"Guerrero Jr., Vladimir",665489,"TOR","SL","Slider",1,4,"372",14.9,"97","0.283","0.413","0.331",25.6,14.4,17.5,"0.308","0.524","0.371",48.7
"Herrera, Iván",671056,"STL","SI","Sinker",1,3,"349",19.3,"96","0.345","0.452","0.407",14.3,12.5,15.8,"0.321","0.436","0.376",40.3
"Hoerner, Nico",663538,"CHC","SL","Slider",-0.4,-2,"395",17.1,"96","0.236","0.326","0.289",23.6,12.5,10,"0.261","0.339","0.285",15.4
"Lopez, Otto",672640,"MIA","SL","Slider",-0.1,0,"377",17.7,"96","0.258","0.43","0.326",32.8,13.5,13.5,"0.254","0.449","0.312",30
"Perdomo, Geraldo",672695,"AZ","CH","Changeup",0.5,2,"290",9.6,"96","0.224","0.353","0.291",13.7,10.4,9.1,"0.209","0.327","0.276",32.5
"Bohm, Alec",664761,"PHI","SI","Sinker",-2,-6,"303",16.8,"96","0.216","0.352","0.287",5.6,9.4,15.8,"0.273","0.444","0.333",48.8
"Díaz, Elias",553869,"SD","FF","4-Seam Fastball",-0.4,-2,"378",35.8,"96","0.211","0.355","0.33",32.2,27.1,23.6,"0.205","0.375","0.332",42.3
"Morel, Christopher",666624,"TB","FF","4-Seam Fastball",0.2,1,"361",30.7,"95","0.207","0.415","0.322",36.9,37.9,30,"0.197","0.49","0.341",56.5
"Steer, Spencer",668715,"CIN","SL","Slider",0.9,3,"352",15.2,"95","0.258","0.517","0.359",33,23.2,16.9,"0.237","0.416","0.304",40.3
"Lindor, Francisco",596019,"NYM","CH","Changeup",-0.2,-1,"389",13.2,"95","0.237","0.344","0.273",21.6,12.6,11,"0.236","0.367","0.267",35.8
"Winn, Masyn",691026,"STL","SL","Slider",0.2,1,"363",16.1,"95","0.253","0.341","0.286",20.5,16.8,11.8,"0.266","0.347","0.284",32
"Doyle, Brenton",686668,"COL","SI","Sinker",-0.5,-1,"315",16.1,"95","0.295","0.386","0.343",11.1,8.4,16.7,"0.275","0.407","0.319",43.2
"Crow-Armstrong, Pete",691718,"CHC","SL","Slider",0.2,1,"330",14.3,"95","0.241","0.446","0.303",33.3,27.4,21,"0.194","0.346","0.257",32.3
"Ohtani, Shohei",660271,"LAD","CH","Changeup",2.4,9,"370",12.9,"95","0.256","0.593","0.385",35.4,31.6,24.6,"0.266","0.535","0.371",50
"Vientos, Mark",668901,"NYM","SI","Sinker",-1.4,-5,"324",18.4,"95","0.224","0.329","0.289",16.6,10.5,17.9,"0.281","0.406","0.338",52.6
"Pasquantino, Vinnie",686469,"KC","CH","Changeup",1.1,4,"340",13.2,"95","0.233","0.433","0.305",26.4,16.8,14.7,"0.253","0.457","0.321",40.5
"Turang, Brice",668930,"MIL","SI","Sinker",-0.1,-1,"390",14.1,"95","0.321","0.42","0.382",9.3,12.6,12.9,"0.284","0.404","0.348",47.1
"Hernández, Teoscar",606192,"LAD","SI","Sinker",-1.2,-5,"400",18.7,"94","0.241","0.402","0.317",10,6.4,8.3,"0.312","0.48","0.366",44.4
"Caminero, Junior",691406,"TB","SL","Slider",1.9,8,"412",16.5,"94","0.291","0.57","0.396",29,27.7,21.7,"0.225","0.47","0.319",56.5
"Murphy, Sean",669221,"ATL","FF","4-Seam Fastball",-0.6,-2,"359",26.5,"94","0.187","0.387","0.326",25.7,29.8,22,"0.213","0.433","0.356",47.9
"Ohtani, Shohei",660271,"LAD","SI","Sinker",2.6,10,"394",13.8,"94","0.338","0.675","0.468",20.8,21.3,25.6,"0.281","0.656","0.437",51.7
"Burleson, Alec",676475,"STL","SI","Sinker",-0.8,-3,"329",17,"94","0.286","0.405","0.352",11.4,4.3,6.2,"0.279","0.446","0.346",40.7
"Garver, Mitch",641598,"SEA","FF","4-Seam Fastball",-2.1,-6,"315",27,"94","0.159","0.352","0.244",19.9,26.6,24.3,"0.206","0.452","0.302",54
"Massey, Michael",686681,"KC","FF","4-Seam Fastball",-2.7,-10,"365",36,"94","0.191","0.247","0.213",18.1,13.8,13.8,"0.227","0.363","0.271",36.4
"Perdomo, Geraldo",672695,"AZ","SL","Slider",2.5,9,"353",11.7,"94","0.333","0.5","0.403",13.7,12.8,11.1,"0.309","0.444","0.376",39.7
"Reynolds, Bryan",668804,"PIT","SL","Slider",-1.2,-4,"348",13.2,"94","0.195","0.356","0.261",37.7,41.5,29.1,"0.214","0.436","0.297",44.9
"Moreno, Gabriel",672515,"AZ","FF","4-Seam Fastball",0.1,0,"449",34.2,"94","0.272","0.469","0.363",19.1,19.1,13.5,"0.254","0.489","0.366",47.6
"Grichuk, Randal",545341,"KC","FF","4-Seam Fastball",-0.8,-3,"352",32.7,"94","0.229","0.386","0.306",16.9,17,15.7,"0.272","0.534","0.376",48.5
"Bleday, JJ",668709,"ATH","FF","4-Seam Fastball",0.6,2,"363",27.3,"94","0.284","0.531","0.387",13.7,22.3,21.2,"0.211","0.405","0.319",45.9
"Smith, Pavin",656976,"AZ","FF","4-Seam Fastball",1.9,7,"352",28,"93","0.312","0.558","0.426",25,28,23.4,"0.238","0.491","0.373",52.9
"Urías, Luis",649966,"ATH","SI","Sinker",-1,-3,"339",26,"93","0.2","0.253","0.298",12.8,10.8,17.9,"0.237","0.329","0.327",34.8
"Harris II, Michael",671739,"ATL","SL","Slider",-1.5,-4,"277",12.8,"93","0.213","0.416","0.272",35.7,25.8,25.3,"0.236","0.424","0.291",38.8
"Busch, Michael",683737,"CHC","SL","Slider",1.6,6,"360",15.5,"93","0.197","0.434","0.363",38.7,30.1,21.5,"0.196","0.431","0.342",43.8
"Fermin, Freddy",666023,"SD","FF","4-Seam Fastball",-1.3,-5,"397",29,"93","0.282","0.341","0.304",22.1,23.7,14.1,"0.237","0.325","0.263",40.3
"Springer, George",543807,"TOR","SL","Slider",2.4,9,"364",15.8,"93","0.302","0.57","0.404",41,29,25,"0.233","0.434","0.313",40.7
"Farmer, Kyle",571657,"COL","FF","4-Seam Fastball",-0.2,-1,"406",36.9,"93","0.298","0.417","0.34",19.5,19.4,17.3,"0.267","0.385","0.324",41.8
"Langeliers, Shea",669127,"ATH","SL","Slider",0.2,1,"335",17.4,"92","0.238","0.488","0.324",27.3,17.4,15.5,"0.227","0.432","0.305",35.7
"Rice, Ben",700250,"NYY","SL","Slider",1.9,6,"320",15.6,"92","0.241","0.494","0.373",37.5,30.4,29.5,"0.212","0.449","0.336",49
